Month,Departures_NSW,Departures_VIC,Departures_QLD,Departures_SA,Departures_WA,Departures_TAS,Departures_NT,Departures_ACT,Departures_All_States,Arrivals_NSW,Arrivals_VIC,Arrivals_QLD,Arrivals_SA,Arrivals_WA,Arrivals_TAS,Arrivals_NT,Arrivals_ACT,Arrivals_All_States
2013,498700,306570,248210,48810,174340,14240,11190,18770,1320830,569860,376360,293940,57970,225790,11830,16990,25690,1578440
2013,412420,245270,223210,39520,137900,12030,10120,14440,1094910,461110,307670,237190,47400,162570,12930,11790,20750,1261420
2013,458190,314510,256140,47790,167240,12590,12700,18360,1287530,442500,292360,251250,47790,166750,9380,14370,15080,1239490
2013,474850,272910,232410,54240,177720,13950,12610,19340,1258030,444230,291100,242230,46420,157300,8440,18790,18320,1226840
2013,422670,286910,233380,48770,163480,11890,12140,18150,1197390,389380,246440,214910,42490,163350,11160,14440,15700,1097850
2013,469260,333560,268810,46920,168530,10960,14610,22880,1335540,402610,275250,245060,43600,154470,8910,14560,17180,1161650
2013,449160,302120,253480,58340,184630,13440,15960,22790,1299920,516790,366160,315570,60770,194340,12610,18910,26070,1511220
2013,456480,316590,294350,50920,174670,12410,17890,20020,1343350,443410,313400,270380,51760,176200,10920,19630,19020,1304740
2013,487850,321570,280200,54110,184430,12830,15780,22900,1379670,460070,322240,266170,51460,179410,10610,17400,18330,1325700
2013,432560,277510,263590,47970,166730,11660,15500,18760,1234270,544770,355560,307250,62270,206310,15030,17060,24540,1532780
2013,468480,303250,265730,51750,166350,12650,14750,19930,1302890,464740,306580,247370,54500,168200,10600,13610,18240,1283830
2013,585460,392790,323040,68250,249450,14540,20210,28560,1682310,525240,338630,272070,56630,185450,13590,12630,18000,1422260
2014,548890,340580,264090,57910,204790,14570,13940,20380,1465150,632230,409780,318950,69030,256440,13030,19440,25970,1744890
2014,437400,264520,246570,44260,151400,12930,11660,13700,1182440,499000,319850,237550,55660,179070,11600,14180,22120,1339050
2014,473380,303920,247990,54000,175550,13980,12810,17090,1298710,467530,309210,241400,50710,172600,8780,15000,14910,1280150
2014,512380,328920,262780,60950,200130,14590,13120,21170,1414040,476960,318380,254530,52100,184490,9280,19170,16290,1331230
2014,444510,308620,240920,56000,171210,12860,13190,18640,1265970,424930,287290,225570,49940,156370,10610,15300,17540,1187550
2014,502140,365200,264150,56760,181420,11530,16650,22420,1420280,409160,285740,234330,48930,158630,9550,16660,16420,1179420
2014,447470,316740,267650,63890,195780,14060,16300,22940,1344800,534290,400640,323230,65950,208820,13240,24250,23620,1594110
2014,481490,336640,311590,59970,184410,12950,19030,19160,1425230,468480,325810,281410,57640,179050,10860,20000,19190,1362450
2014,491020,331120,281770,60020,191390,13250,16770,22490,1407840,479740,333300,271930,55690,192420,10110,18510,19340,1381030
2014,452220,306300,270310,51940,172350,12470,16810,19210,1301610,547750,377380,307900,69440,212570,14970,17880,26390,1574500
2014,483010,331910,276610,52810,167700,13520,14650,20580,1360790,480890,336050,250260,51870,172460,13240,17500,20400,1342800
2014,607980,407410,326150,67010,241280,14820,19180,28630,1712460,534950,352790,279240,55680,184240,15040,12690,20910,1455550
2015,559720,351830,278260,57920,195780,15740,12180,20600,1492040,642120,439110,321680,68740,247480,12690,20250,28270,1780350
2015,461310,299890,242850,46720,153920,14260,10660,14830,1244450,516360,366510,257380,55740,171380,12430,13050,23110,1415950
2015,531320,369540,265130,55300,178800,15690,12700,17830,1446300,506490,351950,262130,51500,173790,10500,13230,18480,1388160
2015,514610,323510,270220,60870,189770,14760,12170,21310,1407210,493200,334690,255420,52340,183000,9510,19230,17970,1365370
2015,468560,321850,247980,55470,170250,12800,13020,18930,1308870,437070,298010,239720,48490,152970,8570,12940,17310,1215090
2015,514240,388400,273170,54540,179390,11710,15340,23270,1460060,429850,309100,245160,43640,156500,10170,20440,18720,1233570
2015,484110,342350,287220,65310,197690,15060,17040,24100,1432870,560700,415620,331510,66090,206510,13850,22160,29690,1646140
2015,490330,340700,341190,56100,170620,13450,17150,19360,1448890,498990,358930,277390,57920,179050,11410,16140,19370,1419480
