Year,  Conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other
2012,206570,648930,1645450,2783080,235970,370900,276200
2013,193290,638900,1782490,2984710,226090,372740,283460
2014,225710,625950,1939680,3201930,254820,380030,294180
2015,201230,602000,2069140,3496850,317100,459520,303940
2016,205740,612010,2080360,4250000,279180,501560,340470
2017,267020,659860,2436400,4347640,256620,560060,287680
2018,303560,692420,2790660,4339340,208840,600550,310270
2019,329660,675790,2845920,4475720,215650,620420,302720
2020,38050,120370,552510,789340,67220,180260,79950
2021,1920,20930,148010,21370,22750,8400,22850
2022,119830,267410,1767680,1056350,149960,199880,133230
2023,242550,445420,2628030,2885050,287630,415240,283540
2024,129830,270680,1495990,2038200,197090,350980,180600
