Year,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months
2013,1922500,1658990,1299570,562830,219090,392490,426190
2014,2048650,1834170,1377140,593560,232560,407190,429050
2015,2192270,2014910,1477390,618380,248980,435660,462200
2016,2391410,2331220,1646070,654420,272460,476860,496880
2017,2492820,2517050,1758490,703930,303810,514220,524980
2018,2503630,2703740,1858150,723390,333440,570130,553150
2019,2561590,2807670,1855060,727200,355490,594900,564010
2020,448600,432520,366250,169520,82520,152430,175920
2021,34780,34550,47270,42500,24480,31070,31620
2022,624270,834080,858190,441820,229160,351770,355050
2023,1635470,1890230,1527750,700630,338390,523580,571400
2024,1130230,1327680,880090,387830,194630,344040,398880
