Month,Departures_NSW,Departures_VIC,Departures_QLD,Departures_SA,Departures_WA,Departures_TAS,Departures_NT,Departures_ACT,Departures_All_States,Arrivals_NSW,Arrivals_VIC,Arrivals_QLD,Arrivals_SA,Arrivals_WA,Arrivals_TAS,Arrivals_NT,Arrivals_ACT,Arrivals_All_States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2018,693400,470810,311610,68710,207130,17100,14050,26200,1809210,790080,544980,389630,82590,249150,16880,21440,35350,2130700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2018,582690,393930,279270,50840,161650,15480,11440,19940,1515400,644860,459680,311370,65300,183830,19650,13080,31240,1729160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2018,634180,474710,325010,62230,191110,16860,13200,25640,1743090,624850,436350,324060,59730,185060,16370,12720,23110,1682320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2018,659800,421800,303830,69080,198590,18540,13080,30050,1715000,606400,438950,318810,63180,180920,15100,15150,29440,1668310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2018,556630,415120,289980,63650,176990,15510,11970,26650,1556600,538120,368600,287950,59690,172200,14380,13200,26180,1480380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2018,614370,516320,322750,63640,205770,15210,14930,32630,1785860,520100,404770,309990,54930,171200,14010,13280,24630,1513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2018,645680,436900,320140,70780,189320,17160,14800,30760,1725790,686690,549090,408700,75040,214680,19220,17720,38190,2009860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2018,617210,465940,368610,66740,188530,15540,17700,24680,1765100,592030,462430,359060,65030,185330,14290,15550,24620,1718580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2018,614590,469910,346830,66010,199470,15940,14690,27500,1755060,588180,471660,349420,66340,190450,16280,14010,25530,1721970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2018,608240,421480,319240,61740,173920,16020,14760,24360,1639940,705920,524950,381890,73170,210470,21690,13410,32070,1963730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2018,629890,463830,316890,63640,183180,15930,13160,28480,1715150,602150,461280,305560,63850,179230,18320,12960,24480,1667980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2018,806190,574090,397420,79140,250160,18680,19860,38390,2184290,674150,486340,366920,64640,200780,22190,12350,26060,1853600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2019,728740,504860,331130,71090,208250,19210,13530,28360,1905430,813630,596370,411220,80290,242850,18300,17530,37400,2217890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2019,578260,407230,274160,52770,161650,16480,10850,20200,1521730,651190,500350,313720,67880,187920,20680,13600,32880,1788430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2019,620100,453730,309710,62380,185260,17710,12080,23220,1684320,590880,458050,322850,62040,173670,17560,12000,22970,1660140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2019,684210,487600,325040,70240,201120,18920,12870,28420,1828640,600940,455230,323180,59670,179650,15220,15360,24830,1674400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2019,596950,435130,302060,66870,176380,16630,14300,24280,1632790,570120,420450,312130,62480,170090,15660,13580,23270,1587870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2019,619240,525630,330520,64600,198010,15750,15340,31320,1800580,535670,424740,318590,60030,169790,14470,14520,24270,1562130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2019,640470,454400,318300,75780,203310,18870,15320,30730,1757440,670310,555380,410700,78900,216650,20200,19790,36600,2008780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2019,628350,475720,375240,71140,198290,17560,17760,25490,1809670,618430,475830,357020,71750,197540,18140,17210,26600,1782670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2019,634350,477330,345500,73770,202500,17430,16980,28460,1796540,595220,477130,345060,72960,194340,16850,16970,27330,1746100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2019,614110,429240,322430,65400,190020,16090,15870,25460,1678790,699880,521120,382780,84040,222580,21560,16580,30490,1979190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2019,614100,475370,330560,67630,194130,17660,13700,29980,1743220,603570,474530,324850,64100,195840,20470,11920,26450,1721900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
